	Groups	Clonotypes size	Ratio
131	Normal<<>>Control0082	n > 10	0.009345794392523364
132	Normal<<>>Control0182	n = 1	0.8688760806916427
133	Normal<<>>Control0182	n = 2	0.0446685878962536
134	Normal<<>>Control0182	n = 3	0.020172910662824207
135	Normal<<>>Control0182	n = 4	0.012968299711815562
136	Normal<<>>Control0182	n = 5	0.01729106628242075
137	Normal<<>>Control0182	n = 6	0.005763688760806916
138	Normal<<>>Control0182	n = 7	0.007204610951008645
139	Normal<<>>Control0182	n = 8	0.001440922190201729
140	Normal<<>>Control0182	n = 9	0.007204610951008645
141	Normal<<>>Control0182	n = 10	0.001440922190201729
142	Normal<<>>Control0182	n > 10	0.012968299711815562
143	Normal<<>>Control4003	n = 1	0.5940879596250901
144	Normal<<>>Control4003	n = 2	0.32227829848594086
145	Normal<<>>Control4003	n = 3	0.029560201874549386
146	Normal<<>>Control4003	n = 4	0.015861571737563085
147	Normal<<>>Control4003	n = 5	0.007930785868781542
148	Normal<<>>Control4003	n = 6	0.004325883201153569
149	Normal<<>>Control4003	n = 7	0.0021629416005767843
150	Normal<<>>Control4003	n = 8	0.003604902667627974
151	Normal<<>>Control4003	n = 9	0.0014419610670511895
152	Normal<<>>Control4003	n = 10	0.002883922134102379
153	Normal<<>>Control4003	n > 10	0.015861571737563085
