X	Y	composition	n_cells
7.96220326423645	-2.955479145050049	[0. 1.]	1.0
-7.228371858596802	-2.4946175813674927	[1. 0.]	6.0
-6.817815542221069	-2.4946175813674927	[0.95238096 0.04761905]	42.0
-6.407259464263916	-2.4946175813674927	[0.97619045 0.02380952]	42.0
-5.996703624725342	-2.4946175813674927	[0.9120879  0.08791209]	91.0
-5.5861475467681885	-2.4946175813674927	[0.9782609  0.02173913]	92.0
-5.175591230392456	-2.4946175813674927	[0.8979592  0.10204082]	49.0
-4.765035152435303	-2.4946175813674927	[0.8181818  0.18181819]	22.0
-4.3544793128967285	-2.4946175813674927	[0.76666665 0.23333333]	30.0
-3.943923234939575	-2.4946175813674927	[0.66071427 0.3392857 ]	56.0
-3.5333670377731323	-2.4946175813674927	[0.6136364  0.38636363]	44.0
-3.122810959815979	-2.4946175813674927	[0.6388889 0.3611111]	36.0
-2.7122548818588257	-2.4946175813674927	[0.88 0.12]	25.0
-2.3016988039016724	-2.4946175813674927	[0.8181818  0.18181819]	11.0
3.035530209541321	-2.4946175813674927	[0.33333334 0.6666667 ]	3.0
3.446086287498474	-2.4946175813674927	[0.875 0.125]	8.0
3.856642246246338	-2.4946175813674927	[0.6415094  0.35849056]	53.0
4.267198324203491	-2.4946175813674927	[0.6097561 0.3902439]	82.0
4.677754640579224	-2.4946175813674927	[0.59615386 0.40384614]	104.0
5.088310718536377	-2.4946175813674927	[0.5 0.5]	130.0
5.498866558074951	-2.4946175813674927	[0.48120302 0.518797  ]	133.0
5.9094226360321045	-2.4946175813674927	[0.55284554 0.44715446]	123.0
6.319978952407837	-2.4946175813674927	[0.5 0.5]	102.0
6.73053503036499	-2.4946175813674927	[0.59821427 0.4017857 ]	112.0
7.1410908699035645	-2.4946175813674927	[0.59770113 0.40229884]	87.0
7.551646947860718	-2.4946175813674927	[0.6 0.4]	65.0
7.96220326423645	-2.4946175813674927	[0.95652175 0.04347826]	23.0
-7.228371858596802	-2.0337560176849365	[0.8695652  0.13043478]	23.0
-6.817815542221069	-2.0337560176849365	[0.7922078  0.20779221]	77.0
-6.407259464263916	-2.0337560176849365	[0.8115942 0.1884058]	69.0
-5.996703624725342	-2.0337560176849365	[0.76666665 0.23333333]	60.0
-5.5861475467681885	-2.0337560176849365	[0.8125 0.1875]	64.0
-5.175591230392456	-2.0337560176849365	[0.8181818  0.18181819]	66.0
-4.765035152435303	-2.0337560176849365	[0.76744187 0.23255815]	43.0
-4.3544793128967285	-2.0337560176849365	[0.725 0.275]	40.0
-3.943923234939575	-2.0337560176849365	[0.76 0.24]	25.0
-3.5333670377731323	-2.0337560176849365	[0.6888889  0.31111112]	45.0
-3.122810959815979	-2.0337560176849365	[0.77272725 0.22727273]	22.0
-2.7122548818588257	-2.0337560176849365	[0.7619048  0.23809524]	21.0
-2.3016988039016724	-2.0337560176849365	[0.8888889  0.11111111]	27.0
-1.891142725944519	-2.0337560176849365	[1. 0.]	2.0
2.6249741315841675	-2.0337560176849365	[0. 1.]	2.0
3.035530209541321	-2.0337560176849365	[0.375 0.625]	16.0
3.446086287498474	-2.0337560176849365	[0.8113208  0.18867925]	53.0
3.856642246246338	-2.0337560176849365	[0.67105263 0.32894737]	76.0
4.267198324203491	-2.0337560176849365	[0.6630435  0.33695653]	92.0
4.677754640579224	-2.0337560176849365	[0.46391752 0.53608245]	97.0
5.088310718536377	-2.0337560176849365	[0.55813956 0.44186047]	86.0
5.498866558074951	-2.0337560176849365	[0.4827586  0.51724136]	116.0
5.9094226360321045	-2.0337560176849365	[0.42574257 0.57425743]	101.0
6.319978952407837	-2.0337560176849365	[0.4234234 0.5765766]	111.0
6.73053503036499	-2.0337560176849365	[0.44210526 0.55789477]	95.0
