X	Y	composition	n_cells
4.677754640579224	1.6531367301940918	[0.46938777 0.53061223]	49.0
5.088310718536377	1.6531367301940918	[0.5625 0.4375]	16.0
5.498866558074951	1.6531367301940918	[0. 1.]	1.0
-7.228371858596802	2.113998293876648	[1. 0.]	13.0
-6.817815542221069	2.113998293876648	[0.90909094 0.09090909]	44.0
-6.407259464263916	2.113998293876648	[0.76086956 0.23913044]	46.0
-5.996703624725342	2.113998293876648	[0.8030303 0.1969697]	66.0
-5.5861475467681885	2.113998293876648	[0.6666667  0.33333334]	66.0
-5.175591230392456	2.113998293876648	[0.6933333  0.30666667]	75.0
-4.765035152435303	2.113998293876648	[0.8111111  0.18888889]	90.0
-4.3544793128967285	2.113998293876648	[0.739726   0.26027396]	73.0
-3.943923234939575	2.113998293876648	[0.8888889  0.11111111]	63.0
-3.5333670377731323	2.113998293876648	[0.8780488  0.12195122]	41.0
-3.122810959815979	2.113998293876648	[0.7741935  0.22580644]	31.0
-2.7122548818588257	2.113998293876648	[0.5625 0.4375]	16.0
-2.3016988039016724	2.113998293876648	[0.4 0.6]	20.0
-1.891142725944519	2.113998293876648	[0.41666666 0.5833333 ]	24.0
-1.4805866479873657	2.113998293876648	[0.375 0.625]	24.0
-1.0700305700302124	2.113998293876648	[0.6037736 0.3962264]	53.0
-0.6594744920730591	2.113998293876648	[0.7419355 0.2580645]	31.0
-0.24891841411590576	2.113998293876648	[0.625 0.375]	24.0
0.16163766384124756	2.113998293876648	[0.4 0.6]	10.0
0.5721937417984009	2.113998293876648	[0.51724136 0.4827586 ]	29.0
0.9827498197555542	2.113998293876648	[0.5555556  0.44444445]	72.0
1.3933058977127075	2.113998293876648	[0.46296296 0.537037  ]	54.0
1.8038619756698608	2.113998293876648	[0.475 0.525]	80.0
2.214418053627014	2.113998293876648	[0.559633   0.44036698]	109.0
2.6249741315841675	2.113998293876648	[0.46086955 0.53913045]	115.0
3.035530209541321	2.113998293876648	[0.7121212  0.28787878]	66.0
3.446086287498474	2.113998293876648	[0.6666667  0.33333334]	54.0
3.856642246246338	2.113998293876648	[0.625 0.375]	32.0
4.267198324203491	2.113998293876648	[0.39344263 0.60655737]	61.0
4.677754640579224	2.113998293876648	[0.61702126 0.38297874]	47.0
-6.817815542221069	2.574859857559204	[0.875 0.125]	8.0
-6.407259464263916	2.574859857559204	[0.9 0.1]	40.0
-5.996703624725342	2.574859857559204	[0.8115942 0.1884058]	69.0
-5.5861475467681885	2.574859857559204	[0.7027027 0.2972973]	74.0
-5.175591230392456	2.574859857559204	[0.6216216 0.3783784]	74.0
-4.765035152435303	2.574859857559204	[0.65753424 0.34246576]	73.0
-4.3544793128967285	2.574859857559204	[0.6530612 0.3469388]	49.0
-3.943923234939575	2.574859857559204	[0.8367347 0.1632653]	49.0
-3.5333670377731323	2.574859857559204	[0.91525424 0.08474576]	59.0
-3.122810959815979	2.574859857559204	[0.8666667  0.13333334]	75.0
-2.7122548818588257	2.574859857559204	[0.7027027 0.2972973]	37.0
-2.3016988039016724	2.574859857559204	[0.6956522 0.3043478]	23.0
-1.891142725944519	2.574859857559204	[0.9 0.1]	10.0
-1.4805866479873657	2.574859857559204	[0.875 0.125]	16.0
-1.0700305700302124	2.574859857559204	[0.8235294 0.1764706]	17.0
-0.6594744920730591	2.574859857559204	[0.8 0.2]	15.0
-0.24891841411590576	2.574859857559204	[0.71428573 0.2857143 ]	14.0
0.16163766384124756	2.574859857559204	[0.75 0.25]	8.0
0.5721937417984009	2.574859857559204	[0.85714287 0.14285715]	7.0
0.9827498197555542	2.574859857559204	[0.5 0.5]	18.0
1.3933058977127075	2.574859857559204	[0.5925926 0.4074074]	27.0
1.8038619756698608	2.574859857559204	[0.7241379  0.27586207]	29.0
2.214418053627014	2.574859857559204	[0.8235294 0.1764706]	51.0
2.6249741315841675	2.574859857559204	[0.82 0.18]	50.0
3.035530209541321	2.574859857559204	[0.7846154  0.21538462]	65.0
3.446086287498474	2.574859857559204	[0.95454544 0.04545455]	44.0
3.856642246246338	2.574859857559204	[0.8333333  0.16666667]	12.0
4.267198324203491	2.574859857559204	[1. 0.]	5.0
4.677754640579224	2.574859857559204	[1. 0.]	1.0
-5.996703624725342	3.03572154045105	[0.88235295 0.11764706]	34.0
-5.5861475467681885	3.03572154045105	[0.6779661 0.3220339]	59.0
-5.175591230392456	3.03572154045105	[0.8181818  0.18181819]	55.0
-4.765035152435303	3.03572154045105	[0.6923077  0.30769232]	39.0
-4.3544793128967285	3.03572154045105	[0.70212764 0.29787233]	47.0
-3.943923234939575	3.03572154045105	[0.5675676  0.43243244]	37.0
-3.5333670377731323	3.03572154045105	[0.8055556  0.19444445]	36.0
-3.122810959815979	3.03572154045105	[0.64705884 0.3529412 ]	17.0
-2.7122548818588257	3.03572154045105	[0.8214286  0.17857143]	28.0
-2.3016988039016724	3.03572154045105	[0.8888889  0.11111111]	27.0
-1.891142725944519	3.03572154045105	[0.78125 0.21875]	32.0
-1.4805866479873657	3.03572154045105	[0.8125 0.1875]	48.0
-1.0700305700302124	3.03572154045105	[0.7 0.3]	40.0
-0.6594744920730591	3.03572154045105	[0.9268293  0.07317073]	41.0
-0.24891841411590576	3.03572154045105	[0.79310346 0.20689656]	29.0
0.16163766384124756	3.03572154045105	[0.64705884 0.3529412 ]	17.0
0.5721937417984009	3.03572154045105	[0.71428573 0.2857143 ]	7.0
0.9827498197555542	3.03572154045105	[0.7 0.3]	10.0
1.3933058977127075	3.03572154045105	[0.875 0.125]	8.0
1.8038619756698608	3.03572154045105	[0.93333334 0.06666667]	15.0
2.214418053627014	3.03572154045105	[0.9655172  0.03448276]	29.0
2.6249741315841675	3.03572154045105	[0.9183673  0.08163265]	49.0
3.035530209541321	3.03572154045105	[0.8764045  0.12359551]	89.0
3.446086287498474	3.03572154045105	[0.7692308  0.23076923]	39.0
3.856642246246338	3.03572154045105	[1. 0.]	4.0
-5.5861475467681885	3.496583104133606	[0.8 0.2]	5.0
-5.175591230392456	3.496583104133606	[0.5625 0.4375]	16.0
-4.765035152435303	3.496583104133606	[0.5 0.5]	14.0
-4.3544793128967285	3.496583104133606	[0.5555556  0.44444445]	18.0
-3.943923234939575	3.496583104133606	[1. 0.]	16.0
-3.5333670377731323	3.496583104133606	[0.8 0.2]	10.0
-3.122810959815979	3.496583104133606	[0.6666667  0.33333334]	9.0
-2.7122548818588257	3.496583104133606	[0.48 0.52]	25.0
-2.3016988039016724	3.496583104133606	[0.7368421 0.2631579]	38.0
-1.891142725944519	3.496583104133606	[0.75555557 0.24444444]	45.0
-1.4805866479873657	3.496583104133606	[0.8333333  0.16666667]	60.0
-1.0700305700302124	3.496583104133606	[0.85294116 0.14705883]	68.0
-0.6594744920730591	3.496583104133606	[0.9298246  0.07017544]	57.0
-0.24891841411590576	3.496583104133606	[0.7027027 0.2972973]	37.0
0.16163766384124756	3.496583104133606	[0.5 0.5]	14.0
0.5721937417984009	3.496583104133606	[0.5 0.5]	2.0
0.9827498197555542	3.496583104133606	[1. 0.]	5.0
2.214418053627014	3.496583104133606	[0.8 0.2]	5.0
2.6249741315841675	3.496583104133606	[0.9583333  0.04166667]	24.0
3.035530209541321	3.496583104133606	[0.90909094 0.09090909]	22.0
3.446086287498474	3.496583104133606	[0.33333334 0.6666667 ]	3.0
-5.175591230392456	3.9574445486068726	[0. 1.]	8.0
-4.765035152435303	3.9574445486068726	[0.42857143 0.5714286 ]	21.0
-4.3544793128967285	3.9574445486068726	[0.6666667  0.33333334]	39.0
-3.943923234939575	3.9574445486068726	[0.85 0.15]	20.0
-3.5333670377731323	3.9574445486068726	[0.3 0.7]	10.0
-2.7122548818588257	3.9574445486068726	[0.4 0.6]	5.0
-2.3016988039016724	3.9574445486068726	[0.8695652  0.13043478]	23.0
-1.891142725944519	3.9574445486068726	[0.84615386 0.15384616]	65.0
-1.4805866479873657	3.9574445486068726	[0.9529412  0.04705882]	85.0
-1.0700305700302124	3.9574445486068726	[0.8965517  0.10344828]	87.0
-0.6594744920730591	3.9574445486068726	[0.85714287 0.14285715]	63.0
-0.24891841411590576	3.9574445486068726	[0.8181818  0.18181819]	33.0
0.16163766384124756	3.9574445486068726	[0.33333334 0.6666667 ]	3.0
-4.765035152435303	4.418306112289429	[0.597561   0.40243903]	82.0
-4.3544793128967285	4.418306112289429	[0.5645161  0.43548387]	124.0
-3.943923234939575	4.418306112289429	[0.6226415 0.3773585]	53.0
-3.5333670377731323	4.418306112289429	[0.16666667 0.8333333 ]	18.0
-3.122810959815979	4.418306112289429	[0. 1.]	1.0
-2.3016988039016724	4.418306112289429	[0.6666667  0.33333334]	3.0
-1.891142725944519	4.418306112289429	[0.81578946 0.18421052]	38.0
-1.4805866479873657	4.418306112289429	[0.7966102  0.20338982]	59.0
-1.0700305700302124	4.418306112289429	[0.85333335 0.14666666]	75.0
-0.6594744920730591	4.418306112289429	[0.8938053  0.10619469]	113.0
-0.24891841411590576	4.418306112289429	[1. 0.]	7.0
-4.765035152435303	4.879167795181274	[0.8333333  0.16666667]	24.0
-4.3544793128967285	4.879167795181274	[0.6125 0.3875]	80.0
-3.943923234939575	4.879167795181274	[0.5686275  0.43137255]	51.0
-3.5333670377731323	4.879167795181274	[0.4375 0.5625]	16.0
-1.891142725944519	4.879167795181274	[0.9230769  0.07692308]	13.0
-1.4805866479873657	4.879167795181274	[0.93846154 0.06153846]	65.0
-1.0700305700302124	4.879167795181274	[0.9285714  0.07142857]	28.0
-0.6594744920730591	4.879167795181274	[1. 0.]	4.0
